Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,317.0,1.0,317.0,317.0,0.1,308.0079999999998,0.0,0.0,0.014012813568115234,,,,,,,,,,,,,,,,,,,,,136.70144715513766,78.82002772632343,265.2037836152685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,374.0,2.0,57.0,374.0,0.1,43.01299999999997,0.0,0.0,5.784864664077759,,,,,,,,,,,,,,,,,,,,,17.115866443642364,14.314094765100116,42.12159668448467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,477.0,3.0,103.0,477.0,0.1,94.00800000000004,0.0,0.0,16.069541692733765,,,,,,,,,,,,,,,,,,,,,42.91397837966121,28.022789459883263,89.7673050697293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,508.0,4.0,31.0,508.0,0.1,21.00900000000001,0.0,0.0,19.34826922416687,,,,,,,,,,,,,,,,,,,,,8.079924496444436,7.3471545514554535,20.80010174399647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,691.0,5.0,183.0,691.0,0.1,175.00700000000003,0.0,0.0,37.33709979057312,,,,,,,,,,,,,,,,,,,,,80.35928117186197,48.393592489881826,160.6223355944026,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,906.0,6.0,215.0,906.0,0.1,204.01000000000005,0.0,0.0,58.21815276145935,,,,,,,,,,,,,,,,,,,,,91.86092512902489,56.02019292773292,184.6289744171197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,972.0,7.0,66.0,972.0,0.1,57.00799999999998,0.0,0.0,64.78104543685913,,,,,,,,,,,,,,,,,,,,,25.43069810741639,17.91086430542493,55.44039928307739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1201.0,8.0,229.0,1201.0,0.1,220.00800000000004,0.0,0.0,87.73354864120483,,,,,,,,,,,,,,,,,,,,,99.6813280546683,59.31021521787782,197.57593015987078,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1394.0,9.0,193.0,1394.0,0.1,185.00700000000003,0.0,0.0,106.52551817893982,,,,,,,,,,,,,,,,,,,,,84.79972596022223,50.809821876645,168.97844079282217,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1450.0,10.0,56.0,1450.0,0.1,49.005999999999986,0.0,0.0,112.28917169570923,,,,,,,,,,,,,,,,,,,,,22.38812994865007,15.368527464261463,47.84791270036363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
