Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,17.607000000000024,0.0,0.0,0.020980358123779297,,,,,,,,,,,,,,,,,,,,,5.014355410388186,5.712654349054488,17.441290924141835,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,93.0,2.0,53.0,93.0,0.1,33.906,0.0,0.0,5.184856176376343,,,,,,,,,,,,,,,,,,,,,11.951519236436296,11.330244453427222,33.33921457039509,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,120.0,3.0,27.0,120.0,0.1,11.704999999999995,0.0,0.0,8.110019207000732,,,,,,,,,,,,,,,,,,,,,3.4986711048488024,3.9480628874722994,11.633791830037328,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,168.0,4.0,48.0,168.0,0.1,22.80700000000002,0.0,0.0,12.998016834259033,,,,,,,,,,,,,,,,,,,,,7.325304218489016,7.165650819840561,22.500363624397693,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,215.0,5.0,47.0,215.0,0.1,30.20700000000002,0.0,0.0,17.837689638137817,,,,,,,,,,,,,,,,,,,,,10.71181201819292,10.247322937788477,29.76304115441261,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,302.0,6.0,87.0,302.0,0.1,32.51600000000005,0.0,0.0,26.5343599319458,,,,,,,,,,,,,,,,,,,,,11.69994820476294,7.873447176949349,31.561195335661616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,335.0,7.0,33.0,335.0,0.1,17.606000000000016,0.0,0.0,30.178077697753906,,,,,,,,,,,,,,,,,,,,,5.701896325688464,6.022041757946904,17.452725419365596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,371.0,8.0,36.0,371.0,0.1,12.70899999999999,0.0,0.0,33.83180260658264,,,,,,,,,,,,,,,,,,,,,3.109788332475204,4.048984054205374,12.622279556865069,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,409.0,9.0,38.0,409.0,0.1,14.905999999999992,0.0,0.0,37.68517804145813,,,,,,,,,,,,,,,,,,,,,4.00978997988285,4.738431972892649,14.783179556698297,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,437.0,10.0,28.0,437.0,0.1,13.105999999999995,0.0,0.0,40.58804535865784,,,,,,,,,,,,,,,,,,,,,3.9747896639514733,4.49892639640289,13.020734337349724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,465.0,11.0,28.0,465.0,0.1,13.605999999999995,0.0,0.0,43.64831590652466,,,,,,,,,,,,,,,,,,,,,4.187900726554885,4.713316189897722,13.515756777454598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,493.0,12.0,28.0,493.0,0.1,12.106999999999994,0.0,0.0,46.667877435684204,,,,,,,,,,,,,,,,,,,,,3.475500794401849,4.126713653558752,12.033741426869062,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,540.0,13.0,47.0,540.0,0.1,28.40700000000002,0.0,0.0,51.58871078491211,,,,,,,,,,,,,,,,,,,,,9.58983079693011,9.623883778936502,28.0122744892483,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,585.0,14.0,45.0,585.0,0.1,29.605000000000015,0.0,0.0,56.06034255027771,,,,,,,,,,,,,,,,,,,,,11.313765083282249,9.758006602814111,29.154159736565692,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,627.0,15.0,42.0,627.0,0.1,16.009000000000004,0.0,0.0,60.42037105560303,,,,,,,,,,,,,,,,,,,,,4.004151774354038,5.0824673966764795,15.872554862647567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,705.0,16.0,78.0,705.0,0.1,54.50699999999999,0.0,0.0,68.15153408050537,,,,,,,,,,,,,,,,,,,,,23.059863231590793,16.839644936062516,52.81390566536098,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,751.0,17.0,46.0,751.0,0.1,22.007000000000023,0.0,0.0,73.29289937019348,,,,,,,,,,,,,,,,,,,,,6.704861690030475,7.066100735442092,21.74203869761513,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,779.0,18.0,28.0,779.0,0.1,13.204999999999995,0.0,0.0,76.24287843704224,,,,,,,,,,,,,,,,,,,,,4.055222787368483,4.513977082147469,13.117675996270231,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,812.0,19.0,33.0,812.0,0.1,19.105000000000015,0.0,0.0,79.56877017021179,,,,,,,,,,,,,,,,,,,,,6.5447972740654095,6.57793585597689,18.926856476051476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,847.0,20.0,35.0,847.0,0.1,18.30600000000002,0.0,0.0,83.23356485366821,,,,,,,,,,,,,,,,,,,,,5.763907999536905,6.239388493350896,18.14052613175359,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,39.0,1.0,39.0,886.0,0.1,19.00600000000002,0.0,0.0,229.72349190711975,,,,,,,,,,,,,,,,,,,,,5.744535892748234,6.290000586624069,18.819583447494363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,122.0,2.0,83.0,969.0,0.1,39.50800000000003,0.0,0.0,238.2389521598816,,,,,,,,,,,,,,,,,,,,,10.792022295158366,12.34837305915829,38.68960266522965,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,177.0,3.0,55.0,1024.0,0.1,22.408000000000037,0.0,0.0,243.8265826702118,,,,,,,,,,,,,,,,,,,,,6.02109446398795,6.906682217934716,22.121059803026913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
